# Queries file for the Eastern USA (DIMACS-9) graph.
#
# Lines starting with a number sign (#) are comment lines.
# 
# Every other line represents an s-t shortest path query. The first 
# number on a line is the source node's id and the second one the target 
# node's id.
# 
2931883 487531
3259603 3004881
456978 3486589
3286895 795418
2275622 1108977
351012 1969241
1002210 677916
1968020 3573005
3445706 3585888
3472270 3482369
567190 2612021
3492797 3530643
3444483 395351
1746684 2872082
2879907 1068897
510596 17214
1517760 404718
3295387 2302267
2850855 3161140
3452851 1812492
2359763 2871444
128513 1300161
3055696 762636
3361089 2451956
2442512 1434910
2726821 2665310
2674253 1708478
1411477 1518935
2358818 625676
616037 1086472
2540793 2869110
114555 1139146
996542 3139542
166154 536605
349541 3577277
2963314 2957720
2500426 450486
1141122 2748448
3419490 1765445
123959 2388066
1578876 453055
1373085 756463
2754806 184309
2861624 131139
672484 1470869
