# Queries file for the Florida (DIMACS-9) graph.
#
# Lines starting with a number sign (#) are comment lines.
# 
# Every other line represents an s-t shortest path query. The first 
# number on a line is the source node's id and the second one the target 
# node's id.
# 
872060 145012
969538 893773
135924 1037052
977655 236590
298098 201640
585369 1062756
1024892 1066588
168706 776920
1038899 1050156
1024528 117594
519534 854273
856601 317933
151872 5121
847959 940251
1027017 539108
701889 854083
38225 386721
726502 426800
811067 792771
419830 451793
34074 338828
296412 933826
743728 133993
36871 710307
469621 134757
408411 225003
851163 39006
200024 437496
92784 245443
908675 797709
613793 14120
819391 54821
1026745 618275
464888 1062276
166853 388532
646355 354960
977962 507649
255046 618931
209738 890617
410098 1057237
