# Queries file for the Great Lakes (DIMACS-9) graph.
#
# Lines starting with a number sign (#) are comment lines.
# 
# Every other line represents an s-t shortest path query. The first 
# number on a line is the source node's id and the second one the target 
# node's id.
# 
2247105 373662
2498282 2303053
350245 2672252
2519199 609638
1744122 849962
269028 1509299
768131 519580
1508364 2738484
2640917 2748358
2661277 2669017
434716 2001950
2677010 2706017
2639980 303012
1338724 2201271
2207268 819243
391340 13194
1163268 310191
2525707 1764543
2185002 2422816
2646394 1389162
1808611 2200782
98498 996492
2341999 584513
2576064 1879271
1872032 1099768
2089937 2042793
2049648 1309441
1081809 1164168
1807886 479541
472154 832713
1947359 2198993
87799 873084
763787 2406262
127347 411274
267901 2741759
2271194 2266907
1916420 345269
874598 2106513
2620825 1353103
95007 1830303
1210109 347238
1052384 579782
2111386 141261
2193256 100510
515417 1127329
