# Queries file for the New York (DIMACS-9) graph.
#
# Lines starting with a number sign (#) are comment lines.
# 
# Every other line represents an s-t shortest path query. The first 
# number on a line is the source node's id and the second one the target 
# node's id.
# 
250740 250672
23196 61361
227169 199428
153449 3530
18416 697
116222 120451
263460 74819
45408 41714
97133 256687
154569 59611
239407 259423
205341 223389
217471 73936
43400 32149
43615 74262
234949 12354
151073 53658
71836 171349
77941 263589
162738 176869
56116 147046
232594 70643
99037 116662
190829 181145
12986 232254
189589 201145
48146 243402
130870 37259
27121 127066
244912 77262
31361 103950
225244 20969
125272 24539
152742 412
74685 161967
150982 13606
144729 159710
170203 70536
196315 97022
33066 113322
135912 74123
178939 80460
80678 177391
134985 62757
193786 181203
90519 184121
13477 108946
16761 48396
32211 113402
83825 159087
