# Queries file for the Western USA (DIMACS-9) graph.
#
# Lines starting with a number sign (#) are comment lines.
# 
# Every other line represents an s-t shortest path query. The first 
# number on a line is the source node's id and the second one the target 
# node's id.
# 
5101884 848371
5672163 5228910
795205 6067150
5719654 1384138
3959899 1929774
610809 3426752
1743985 1179668
3424629 6217525
5996007 6239944
6042232 6059806
986990 4545279
6077952 6143810
5993879 687966
3039473 4997822
5011439 1860030
888507 29955
2641113 704265
5734431 4006265
4960884 5500824
6008441 3153988
4106316 4996712
223631 2262461
5317336 1327092
5848762 4266744
4250310 2496942
4745047 4638010
4653573 2972988
2456166 2643157
4104671 1088762
1071989 1890612
4421334 4992649
199341 1982272
1734121 5463240
289131 933768
608250 6224960
5156578 5146843
4351089 783908
1985710 4782682
5950389 3072120
215705 4155567
2747463 788378
2389359 1316351
4793745 320723
4979624 228199
1170216 2559517
