# Queries file for the Belgium (DIMACS-10) graph.
#
# Lines starting with a number sign (#) are comment lines.
# 
# Every other line represents an s-t shortest path query. The first 
# number on a line is the source node's id and the second one the target 
# node's id.
# 
1305513 1203493
183026 1396424
140585 788706
401398 271514
1380049 1436194
227167 1046148
1398910 1414068
1379559 158344
699570 1150306
1153440 428107
204500 6895
1382911 725926
51472 520731
1223845 305446
978257 574700
1071073 684267
565315 608353
944737 250591
246731 435146
1017620 1149115
45881 456243
399128 1257427
66547 214918
139996 1432745
1186845 1184605
1001453 180426
457034 1100789
1369550 707084
49647 956451
632360 181455
549938 302974
269339 589102
705895 660098
1022404 1327252
1087726 1163890
785260 1242469
296492 715755
709563 539938
251027 1091207
321839 322710
