# Queries file for the Germany (DIMACS-10) graph.
#
# Lines starting with a number sign (#) are comment lines.
# 
# Every other line represents an s-t shortest path query. The first 
# number on a line is the source node's id and the second one the target 
# node's id.
# 
9409117 1564603
10460850 9643384
1466551 11189303
10548436 2552688
7303019 3558974
1126479 6319766
3216333 2175595
6315850 11466632
11058098 11507977
11143348 11175758
1820249 8382601
11209225 11330683
11054172 1268777
5605528 9217201
9242315 3430347
1638624 55244
4870856 1298836
10575687 7388528
9149079 10144859
11081029 5816722
7573048 9215154
412429 4172529
9806462 2447482
10786543 7868916
7838607 4604969
8751023 8553620
8582321 5482914
4529769 4874625
7570012 2007942
1977009 3486748
8154017 9207662
367633 3655792
3198141 10075545
533227 1722095
1121760 11480342
9509986 9492033
8024468 1445717
3662133 8820430
10973967 5665737
397813 7663877
