# Queries file for the Luxembourg (DIMACS-10) graph.
#
# Lines starting with a number sign (#) are comment lines.
# 
# Every other line represents an s-t shortest path query. The first 
# number on a line is the source node's id and the second one the target 
# node's id.
# 
62685 62668
5799 89174
15341 56793
112288 49857
38363 883
4604 175
67799 29056
105570 66393
67594 30113
89482 65865
91495 18705
11352 10429
75543 24284
64172 111278
38643 108621
110033 101616
102116 111325
89396 14903
59852 87782
64856 51336
55848 111122
110233 112796
98712 111395
76653 110456
54368 18484
94856 10850
8038 112273
10904 18566
58738 101178
113541 76473
97671 3089
37769 75871
13415 17959
77318 96044
42838 19486
65898 40685
102663 44218
14029 36762
58149 82202
17661 24760
112387 29166
69220 47708
45287 3247
58064 93044
47398 84738
107946 50287
85884 76597
12037 60851
32718 111296
9315 86801
