# Queries file for the Netherlands (DIMACS-10) graph.
#
# Lines starting with a number sign (#) are comment lines.
# 
# Every other line represents an s-t shortest path query. The first 
# number on a line is the source node's id and the second one the target 
# node's id.
# 
1805988 300311
2007858 1850953
2024669 489964
1401743 683110
617344 417584
2122493 2208843
349379 1608958
2151501 2174814
2121740 243530
1075926 1769151
1773972 658422
314518 10604
2029900 1418156
1756076 1947206
2126895 1116463
1453572 1768758
79162 800876
1882254 469770
2070371 1510361
1504544 883879
1679673 1641784
1647293 1052392
869445 935637
1452990 385405
379468 669247
1565084 1767321
70564 701694
613852 1933902
215311 2203539
1825349 1821903
1540218 277492
702911 1692995
2106345 1087483
76357 1471006
972559 279074
1696912 113531
709920 1955923
875554 1467583
1528400 1370853
711113 510091
